cpu,freq,fan,load,temp
18.8,0.98,3515,269,56.0
16.0,1.0,3515,269,57.0
23.8,1.4,3515,269,54.0
29.6,1.04,3515,269,56.0
27.0,1.68,3515,269,54.0
22.8,0.96,3515,269,55.0
27.1,1.19,3515,269,55.0
27.7,1.03,3515,269,55.0
34.6,2.78,3515,269,62.0
15.7,1.38,3515,267,55.0
14.4,0.96,3515,267,55.0
20.8,0.8,3515,267,54.0
28.8,0.85,3515,267,56.0
25.3,2.06,3515,268,58.0
20.3,1.34,3512,268,56.0
24.0,1.41,3512,268,55.0
20.3,1.06,3512,268,56.0
18.8,0.92,3512,268,55.0
16.2,1.46,3512,268,55.0
16.0,0.91,3515,268,55.0
20.7,0.97,3515,268,56.0
19.4,1.07,3515,268,55.0
16.2,1.43,3515,268,54.0
16.5,1.46,3515,268,54.0
16.8,0.8,3515,268,53.0
15.3,0.8,3515,268,53.0
16.5,0.93,3515,268,53.0
15.5,0.8,3515,268,53.0
15.4,0.8,3515,268,53.0
19.7,0.8,3512,268,53.0
16.0,0.92,3512,268,54.0
16.8,0.91,3512,268,55.0
17.9,1.48,3512,268,54.0
22.5,1.46,3512,268,53.0
18.5,0.98,3515,268,53.0
19.9,1.71,3515,268,55.0
29.1,1.21,3515,268,53.0
29.0,0.99,3512,268,53.0
25.3,0.93,3510,268,53.0
39.0,2.38,3507,268,54.0
19.7,0.8,3505,268,53.0
19.7,0.8,3505,268,53.0
23.6,0.84,3505,268,55.0
23.1,0.81,3505,268,54.0
17.8,1.44,3505,268,53.0
26.7,1.04,3505,268,54.0
21.9,0.81,3505,268,53.0
19.4,1.43,3505,268,53.0
28.6,2.22,3505,269,54.0
16.4,1.58,3505,269,53.0
18.9,2.75,3505,268,55.0
37.8,2.9,3505,268,57.0
25.1,2.35,3505,267,57.0
26.3,2.99,3505,267,58.0
44.5,2.56,3505,267,58.0
31.4,2.39,3502,267,59.0
21.6,2.98,3502,267,57.0
17.2,2.04,3499,267,56.0
19.1,2.56,3525,267,57.0
13.2,1.74,3525,267,56.0
16.1,2.5,3536,267,56.0
15.6,1.95,3525,267,57.0
17.7,2.54,3525,267,58.0
19.6,2.5,3525,267,56.0
17.3,2.43,3525,267,57.0
17.0,2.07,3525,267,55.0
13.4,1.36,3525,267,56.0
24.1,2.87,3525,267,56.0
43.4,3.08,3525,267,59.0
42.2,3.11,3522,267,60.0
24.3,2.04,3520,267,59.0
16.7,2.96,3522,267,58.0
28.1,1.73,3522,267,57.0
11.0,2.5,3522,267,57.0
14.5,0.93,3528,267,57.0
14.9,2.32,3533,267,57.0
18.6,2.67,3533,267,59.0
29.9,2.89,3533,267,58.0
20.7,3.14,3530,267,60.0
28.4,3.11,3530,268,59.0
23.2,3.09,3527,268,61.0
54.0,2.98,3525,275,64.0
77.1,2.99,3525,273,64.0
63.0,2.99,3525,273,65.0
67.4,3.06,3522,270,66.0
67.9,3.04,3522,274,66.0
62.2,3.04,3520,274,67.0
61.9,2.93,3520,274,67.0
70.8,2.99,3520,274,67.0
59.0,3.04,3522,272,68.0
79.9,2.99,3525,272,69.0
95.2,2.92,3525,272,69.0
97.5,2.93,3525,272,70.0
95.8,2.99,3525,270,70.0
99.0,2.96,3525,268,69.0
99.5,2.99,3525,268,70.0
95.2,2.98,3525,268,71.0
82.0,2.96,3525,268,72.0
80.8,2.94,3525,268,71.0
75.2,3.04,3525,268,70.0
73.2,3.04,3525,269,72.0
78.7,2.51,3525,269,71.0
35.2,3.13,3525,269,70.0
35.4,3.12,3547,269,71.0
42.2,3.12,3633,269,70.0
63.2,3.05,3735,269,72.0
65.4,2.95,3893,269,71.0
40.3,3.11,3984,269,71.0
40.8,3.13,4038,269,69.0
35.5,3.11,4051,269,69.0
34.4,3.09,4051,269,69.0
39.4,3.04,4024,269,70.0
35.6,3.1,4024,269,71.0
39.3,3.09,4024,269,71.0
35.6,3.12,4011,269,71.0
43.2,3.12,4024,269,71.0
40.3,3.12,4020,269,71.0
39.6,2.52,4020,269,71.0
31.8,2.5,4020,269,71.0
39.0,3.07,4020,269,69.0
34.1,1.91,4024,269,68.0
30.3,2.53,4024,269,68.0
30.6,2.54,4024,269,68.0
30.3,2.53,4024,269,68.0
34.4,2.52,4024,269,69.0
37.3,3.09,4024,269,69.0
35.6,3.06,4024,269,71.0
32.2,2.51,4024,269,71.0
32.0,2.53,4024,269,71.0
38.7,3.12,4024,269,71.0
31.8,3.13,4024,269,71.0
